Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
4038714,Wawne Road,11.0,24.0,24,8.574,GREEN,Primary,15.426,53.802929,-0.332517
4038523,Bailiff Bridge,11.0,24.0,24,7.999,GREEN,Primary,16.001,53.721319,-1.777785
4038525,Brighouse 33/11kV,11.0,12.0,12,10.984,AMBER,Primary,1.016,53.699407,-1.766763
4038528,Deighton,11.0,18.75,23,19.47,GREEN,Primary,3.530000000000001,53.672437,-1.747293
4038787,Lowfields,11.0,24.0,19,5.017,GREEN,Primary,13.983,53.691796,-1.830562
4038795,Millroyd Street,11.0,12.5,15.3,11.557,GREEN,Primary,3.7430000000000003,53.700243,-1.779476
4038474,Snelsins Lane,11.0,18.75,23,11.123,GREEN,Primary,11.877,53.731831,-1.721712
4038757,Drax Primary,11.0,7.5,8,7.97,AMBER,Primary,0.03000000000000025,53.72974,-1.002018
4038602,Crowle,11.0,7.5,6.5,5.05,RED,Primary,1.4500000000000002,53.606105,-0.825784
4038761,Goole,11.0,18.75,23,16.289,GREEN,Primary,6.7109999999999985,53.700927,-0.886414
4038828,Guardian Glass,11.0,30.0,30,3.973,GREEN,Primary,26.027,53.693548,-0.907298
4038759,Rawcliffe,11.0,18.75,8,4.281,GREEN,Primary,3.7190000000000003,53.682823,-0.944762
4038877,Cornwall Street,11.0,30.0,39,16.958,GREEN,BSP,22.042,53.756066,-0.326803
4038598,Armthorpe,11.0,18.75,12,11.006,AMBER,Primary,0.9939999999999998,53.539627,-1.044016
4038696,Askern,11.0,23.0,23,9.376,GREEN,Primary,13.624,53.618883,-1.15965
4038623,Austerfield,11.0,12.5,8,4.581,GREEN,Primary,3.4189999999999996,53.459112,-1.003819
4038591,Balby,11.0,18.75,22.86,11.615,GREEN,Primary,11.245,53.50493,-1.133519
4038586,Barnburgh,11.0,24.0,24,9.531,GREEN,Primary,14.469,53.529669,-1.289184
4038587,Brodsworth,11.0,18.75,23,14.328,GREEN,Primary,8.672,53.564927,-1.209985
4038585,Hickleton,11.0,18.75,23,6.139,GREEN,Primary,16.861,53.543715,-1.29883
4038593,ICI Fibres,11.0,18.75,23,10.263,GREEN,Primary,12.737,53.538276,-1.121914
4038596,Kirk Sandall,11.0,24.0,24,11.518,GREEN,Primary,12.482,53.558535,-1.075828
4038597,Markham Gates,11.0,18.75,23,15.84,GREEN,Primary,7.16,53.5366,-1.073117
4038595,Rockware,11.0,18.75,23,19.38,GREEN,Primary,3.620000000000001,53.554308,-1.086397
4038599,Stainforth,11.0,18.75,23,7.203,GREEN,Primary,15.797,53.594705,-1.019674
4038600,Thorne,11.0,18.75,23,16.61,GREEN,Primary,6.390000000000001,53.63329,-0.933919
4038604,West End Lane,11.0,18.75,23,11.777,GREEN,Primary,11.223,53.480044,-1.088408
4038801,West Moor Park,11.0,24.0,25,17.745,GREEN,Primary,7.254999999999999,53.537745,-1.041213
