Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class
4038843,Halifax 33/11kV,11,40,40,33.683,GREEN,Primary
4038484,Burnleyville,11,23,23,13.039,GREEN,Primary
4038481,Liversedge,11,18.75,23,10.87,GREEN,Primary
4038810,Nab Lane,11,25,12,9.359,GREEN,Primary
4038651,White Lee,11,23,23,11.604,GREEN,Primary
4038501,Denholme,11,12,6.5,3.845,GREEN,Primary
4038507,Furness Avenue,11,23,23,12.277,GREEN,Primary
4038508,Gibraltar Road,11,24,24,15.366,GREEN,Primary
4038514,Queensbury,11,24,24,14.528,GREEN,Primary
4038510,Swan Bank Lane,11,24,24,12.309,GREEN,Primary
4038455,Thornton,11,18.75,23,12.659,GREEN,Primary
4038728,Easington,11,24,17,5.445,GREEN,Primary
4038721,Hedon Road,11,23,23,15.732,GREEN,Primary
4038893,Hull East 33/11kV,11,25,23,12.493,GREEN,Primary
4038719,King George Dock,11,30,30,8.332,GREEN,Primary
4038807,Ottringham Road,11,24,15,13.062,AMBER,Primary
4038726,Patrington Road,11,24,8,5.29,GREEN,Primary
4038717,Westcott Street,11,23,23,14.189,GREEN,Primary
4038727,Withernsea,11,24,10,5.779,GREEN,Primary
4038704,Elgar Road,11,18.75,23,15.511,GREEN,Primary
4038698,Gibson Lane,11,18.75,23,15.746,GREEN,Primary
4038766-1,Newport 1,11,24,18.4,16.709,RED,Primary
4038697,Skillings Lane,11,23,24,9.708,GREEN,Primary
4038797,Eggborough,11,7.5,8,4.44,GREEN,Primary
4038692-11,Ferrybridge A 11kV,11,30,30,22.9,RED,Primary
7501276,South Elmsall,11,30,30,14.586,GREEN,Primary
4038816,Grimethorpe,11,25,25,8.375,GREEN,Primary
4038684,Hemsworth,11,12.5,10,8.518,RED,Primary
4038686,Ledston,11,18.75,23,12.123,AMBER,Primary
4038581,Monckton,11,12.5,15.3,8.867,GREEN,Primary
4038689,South Kirkby,11,18.75,23,19.651,AMBER,Primary
4038738,Convamore Road,11,23,23,11.295,GREEN,Primary
4038740,Conyard Road,11,18.75,23,8.701,GREEN,Primary
4038741,Wesley Crescent,11,23,23,13.163,GREEN,Primary
4038580,Burton Road,11,30,22.9,17.462,GREEN,Primary
4038578,Fish Dam Lane,11,24,24,10.044,GREEN,Primary
4038579,Stairfoot,11,24,24,18.6,GREEN,Primary
4038534,Hope,11,18.75,23,4.841,GREEN,Primary
4038533,Penistone,11,24,24,13.342,GREEN,Primary
4038535,Wheatacre Road,11,12.5,8,8.01,RED,Primary
4038782,Barrow,11,24,11.6,7.269,GREEN,Primary
4038786,Clough Lane,11,24,8,3.302,RED,Primary
4038730,Eastfield Road,11,23,7,6.53,AMBER,Primary
4038731,Humber Road,11,23,23,11.194,GREEN,Primary
4038732,Queens Road,11,40,37,21.429,GREEN,Primary
4038539,Baslow Road,11,24,24,9.92,GREEN,Primary
4038556,Dronfield,11,24,24,10.84,GREEN,Primary
4038547,Greenhill,11,24,10,6.242,GREEN,Primary
4038544,Millhouses,11,24,24,6.93,GREEN,Primary
4038549,Woodseats,11,24,24,15.275,GREEN,Primary
4038840,Keighley,11,30,39,16.96,GREEN,BSP
4038695,Beal,11,30,16.2,8.21,GREEN,Primary
4038687,Carr Lane,11,18.75,23,13.575,GREEN,Primary
4038688,Smith Street,11,23,23,7.929,GREEN,Primary
7395321,Pollington,11,30,8.5,6.676,RED,Primary
4038693,Weeland Road,11,23,21.1,21.04,AMBER,Primary
4038624,Abbey Road,11,23,23,13.161,GREEN,Primary
4038656,Bramley,11,18.75,23,17.74,AMBER,Primary
4038657,Farnley Crescent,11,24,24,12.6,GREEN,Primary
4038634,Fir Tree Lane,11,23,23,16.374,GREEN,Primary
4038625,Iveson House,11,18.75,23,13.849,GREEN,Primary
4038626,West Park,11,23,12,8.418,GREEN,Primary
4038659,Whingate,11,18.75,23,6.964,GREEN,Primary
4038802,Burley Street,11,40,34.8,22.654,GREEN,Primary
4038628,Clarendon Road,11,23,23,13.828,GREEN,Primary
4038630,Upper Basinghall Street,11,24,24,14.11,GREEN,Primary
4038633-1,Allerton Hill T1,11,18.75,23,8.857,GREEN,Primary
4038637,Burmantofts,11,18.75,23,14.01,GREEN,Primary
4038638,Hillcrest,11,18.75,23,12.521,GREEN,Primary
4038789,Knostrop,11,24,24,6.917,GREEN,Primary
4038639,Pontefract Lane 1/2,11,23,23,12.747,GREEN,Primary
4038643,Selby Road,11,18.75,23,14.897,GREEN,Primary
4038641,York Road,11,18.75,23,18.838,AMBER,Primary
4038632,Buslingthorpe Green,11,23,23,12.279,GREEN,Primary
4038631,Carlton Hill,11,18.75,23,18.812,GREEN,Primary
4038636,Leylands Road,11,23,23,14.219,GREEN,Primary
4038627,Moor Road,11,18.75,23,20.043,AMBER,Primary
4038515,Dowker Street,11,23,24,12.489,GREEN,Primary
4038522,Grove Street,11,23,23,10.92,GREEN,Primary
4038517,Honley,11,24,24,10.764,GREEN,Primary
4038512,Meltham,11,23,23,9.161,GREEN,Primary
4038516,Oakes Road,11,24,24,15.371,GREEN,Primary
4038511,Prospect Road,11,23,23,19.77,GREEN,Primary
4038506,Slaithwaite,11,24,24,7.363,GREEN,Primary
7096966,Armouries Drive,11,30,30,9.528,GREEN,Primary
4038670,Brookfield Street,11,23,23,10.262,GREEN,Primary
4038669,Clarence Road,11,30,22.86,11.49,GREEN,Primary
4038667,Holbeck,11,23,23,17.038,GREEN,Primary
4038671,Leasowe Road,11,23,23,11.278,GREEN,Primary
4038672,Stourton 33/11kV,11,18.75,19.4,15.482,AMBER,Primary
4038831,Sweet Street,11,30,30,11.075,GREEN,Primary
7322111,Whitehall Road 2/3,11,30,30,6.44,GREEN,Primary
4038488,Bramhope,11,24,8,3.391,GREEN,Primary
4038475,Chevin End,11,30,30,7.927,GREEN,Primary
4038478,Hallam Street,11,24,23,10.748,GREEN,Primary
4038464,Kirk Drive,11,23,23,19.916,GREEN,Primary
4038483,North Avenue,11,18.75,23,12.045,GREEN,Primary
4038823,Pool,11,24,23.3,8.165,GREEN,Primary
4038736,Doughty Road,11,24,20.9,17.5,GREEN,Primary
