Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
ATHLETIC ST,6.6,BURNLEY,ROCHDALE,385381,432208,4.6,7.6
AVENHAM,6.6,PRESTON EAST,PENWORTHAM ,354028,429192,9.1,2.1
BAGULEY,11,SALE,CARRINGTON,380562,389035,7.6,5
BAMBER BRIDGE,11,RIBBLE,PENWORTHAM ,356431,426698,12,4.5
BARBARA ST,6.6,BOLTON,KEARSLEY,370695,407609,7.2,0
BARROW,11,BARROW & SANDGATE,HARKER,319709,470489,12,13.9
BARTON DOCK RD,6.6,BARTON,CARRINGTON,378864,395534,7.2,3
BEDFORD,11,ATHERTON,KEARSLEY,366258,399876,15.2,5.2
BELGRAVE,6.6,GREENHILL,WHITEGATE,393008,403366,7.2,8
BENCHILL,11,WEST DIDSBURY,SOUTH MANCHESTER,382454,388020,7.6,7.9
BENTHAM,11,KENDAL (PARKSIDE RD),HUTTON,366887,470130,7.6,0.8
BISPHAM,6.6,BISPHAM,PENWORTHAM ,331655,439667,7.2,5.7
BLACKBULL,6.6,RIBBLE,PENWORTHAM ,353041,433005,7.2,7.1
BLACKBURN,6.6,BLACKBURN,PENWORTHAM ,370584,429294,4.6,9
BLACKFRIARS,6.6,FREDERICK RD,KEARSLEY,383030,399104,7.2,0
BLACKLEY,6.6,RED BANK,WHITEGATE,383882,403258,7.2,11
BLACKPOOL,6.6,BLACKPOOL,PENWORTHAM ,330835,435308,7.2,12.7
BOLLINGTON,11,MACCLESFIELD,MACCLESFIELD,393042,377873,12,1.1
BOLTON BY BOWLAND,11,PADIHAM,PADIHAM,378320,449559,7.6,0
BOLTON LE SANDS,11,LANCASTER,HEYSHAM,347707,467237,7.6,5.8
BOTANY BAY,11,LEYLAND,PENWORTHAM ,359442,418850,12,2
BOW LANE,11,LEYLAND,PENWORTHAM ,354895,422392,7.6,4.7
BOWATERS,11,BARROW & SANDGATE,HARKER,319579,472480,7.6,13.8
BOWDON,11,ALTRINCHAM,CARRINGTON,376743,386810,7.6,6.6
BRADFORD,6.6,STUART ST,STALYBRIDGE,387613,397710,4.6,8.4
BRADSHAWGATE,6.6,BOLTON,KEARSLEY,371891,408910,4.6,10.6
