postcode,epc,hpr
RG19 4RR,77.0,1.05
RG17 8PW,61.6,0.82
RG31 5XY,65.3,0.87
RG18 3HL,57.1,0.82
RG7 3FJ,59.1,0.9
RG20 8HT,44.8,0.76
RG14 7NQ,69.7,0.98
RG14 7TT,62.8,0.91
RG20 7EZ,59.4,1.01
RG17 8YQ,62.0,0.9
RG19 4QR,64.1,0.95
RG14 5DY,63.4,0.84
RG30 3UN,46.0,0.67
RG7 4JR,40.9,0.74
RG19 4RS,75.3,1.04
RG7 6HN,47.7,0.81
RG14 2JZ,64.9,0.75
RG17 0JJ,45.0,0.68
RG19 3UG,70.2,1.0
RG14 1RG,59.7,0.81
RG18 3DR,58.1,0.88
RG7 3JT,66.6,1.0
RG30 3NN,62.8,0.88
RG7 3RS,57.6,0.83
RG7 6QD,48.5,0.75
RG18 3EX,63.2,0.84
RG30 3SA,63.0,0.8
RG14 7ND,81.4,0.96
RG31 7QH,53.5,0.76
RG18 3FS,65.0,0.89
RG7 5FT,77.3,1.16
RG17 8NZ,61.9,0.92
RG18 0TD,42.7,0.82
RG20 8EE,59.0,0.91
RG19 4PJ,78.8,1.01
RG19 4QP,60.8,0.86
RG17 0EB,64.5,0.86
RG7 5XA,43.0,0.62
RG31 5LJ,60.3,0.85
RG18 3PJ,58.2,0.83
RG17 8XT,61.7,0.84
RG18 4AA,84.5,1.15
RG31 6AH,82.8,1.13
RG8 8DT,32.4,0.62
RG18 4JS,55.3,0.8
RG7 5NW,54.0,0.95
RG7 5SJ,56.1,0.87
RG14 1SZ,66.0,0.97
RG14 6TN,66.9,0.9
RG14 7LL,73.2,0.97
RG20 7ER,58.2,1.02
RG17 9DZ,50.3,0.79
RG19 4LU,68.4,0.94
RG18 9JH,67.6,0.99
RG20 7DH,55.1,0.91
RG31 6XW,77.9,1.04
RG31 6QZ,57.6,0.91
RG20 7LU,53.4,0.9
RG19 4AU,82.9,1.1
RG18 4QL,61.1,0.83
RG14 7DT,82.8,1.1
RG14 2JR,65.7,0.86
RG17 9UX,55.5,0.91
RG20 7AR,42.0,0.64
RG8 8DG,63.3,0.89
RG14 5JX,53.6,0.7
RG8 8DD,68.1,0.93
RG7 4TP,52.3,0.91
RG8 7RP,52.2,0.75
RG7 5NG,43.3,0.75
RG17 0BP,59.7,0.81
RG8 9NX,60.0,0.99
RG8 7BB,46.0,0.61
RG14 2SG,67.7,0.98
RG17 8XZ,66.5,0.85
RG14 1BN,61.6,0.92
RG7 3YR,61.9,0.96
RG14 7WR,84.5,1.17
RG14 2EN,76.4,1.03
RG19 4YJ,71.0,1.01
RG19 8XD,74.5,0.98
RG14 6ED,56.1,0.75
