postcode,epc,hpr
LL29 8AL,51.4,0.84
LL30 1PQ,56.7,0.73
LL29 9DB,49.3,0.7
LL30 3NW,62.3,0.87
LL18 5DS,55.2,0.83
LL29 8FD,49.8,0.91
LL34 6PT,40.0,0.67
LL28 5AF,57.0,0.88
LL25 0SQ,54.1,0.98
LL30 2HP,63.2,0.69
LL34 6UA,64.0,0.91
LL29 9NP,53.3,0.7
LL29 6DL,65.4,0.94
LL29 8TY,28.5,0.64
LL30 2YE,45.1,0.55
LL26 0EH,56.7,0.78
LL30 3LT,56.3,0.83
LL22 8SH,54.4,0.92
LL29 8YP,22.3,0.59
LL24 0BS,57.8,0.67
LL28 5AW,54.6,0.76
LL24 0LU,35.0,0.63
LL30 3PF,54.8,0.83
LL30 3FB,64.5,1.0
LL22 7TN,61.6,0.93
LL33 0AD,32.2,0.42
LL34 6PF,61.2,0.68
LL29 9EN,52.8,0.75
LL28 4YS,55.8,0.8
LL22 9BW,44.0,0.64
LL22 8PB,71.7,1.01
LL30 1RP,48.0,0.65
LL22 7RZ,66.2,1.02
LL33 0UT,64.3,0.87
LL32 8TW,55.3,0.95
LL30 2EH,56.4,0.73
LL22 7BU,55.2,0.73
LL29 8EY,46.5,0.6
LL29 9LD,52.2,0.72
LL30 1NQ,64.6,0.96
LL29 6DP,64.9,0.97
LL29 9RU,60.2,0.76
LL31 9YA,61.8,0.88
LL28 5NE,64.3,0.93
LL22 8JQ,64.5,0.96
LL30 2HX,65.8,0.91
LL22 9NX,72.8,1.04
LL30 2EE,57.1,0.65
LL29 7UF,53.5,0.71
LL22 7RU,59.7,0.84
LL22 7LX,82.3,1.06
LL30 1YS,65.2,0.71
LL29 9PW,49.4,0.62
LL18 5DT,57.1,0.89
LL31 9PA,47.0,0.7
LL30 1DH,59.1,0.76
LL32 8JZ,47.8,0.88
LL29 7AJ,72.9,0.97
LL16 5LJ,46.7,0.94
LL28 4NW,57.1,0.64
LL30 3HY,54.7,0.81
LL31 9PU,57.9,0.8
LL31 9SP,54.6,0.75
LL30 2DZ,55.8,0.76
LL28 4EB,53.3,0.79
LL22 8BD,32.8,0.67
LL25 0SJ,31.8,0.68
LL30 1SN,52.2,0.8
LL29 9UF,64.3,0.77
LL22 9AQ,61.8,0.96
LL28 4AU,59.1,0.74
LL26 0NA,69.8,0.89
LL30 3PT,50.8,0.73
LL28 5SA,40.7,0.72
LL22 7BZ,68.9,1.05
LL29 8EL,39.2,0.58
LL22 8NH,48.5,0.87
LL26 0AJ,65.2,0.91
LL28 4LQ,65.9,0.83
LL34 6LT,46.4,0.66
LL34 6EW,53.4,0.93
LL22 9NA,65.2,0.88
LL22 8PW,50.1,0.91
LL30 3EJ,68.4,0.92
LL28 5BE,63.5,1.0
LL30 3DX,67.3,0.95
LL31 9SS,56.2,0.82
LL34 6DP,70.6,1.02
LL28 4NT,72.0,0.94
LL18 5NH,56.0,0.82
LL29 9EL,56.7,0.73
LL32 8JN,39.9,0.83
LL29 8EF,63.9,1.04
LL16 5HG,37.4,0.7
LL34 6RN,59.1,0.88
LL30 2PL,51.0,0.58
LL31 9PG,51.5,0.85
LL29 7UL,55.5,0.64
LL28 4BY,73.7,0.9
LL29 8RD,64.0,0.83
LL31 9EA,62.3,0.79
LL24 0BY,55.6,0.85
LL22 7BB,53.7,0.6
LL30 1UX,70.3,1.04
LL28 5UY,63.1,0.95
LL32 8LT,52.2,0.72
LL22 7HN,61.5,0.63
LL28 5EG,71.8,0.99
LL26 0RL,53.5,0.94
LL22 9RE,23.5,0.75
LL29 6DH,63.2,0.9
LL30 1TE,63.1,0.75
LL22 7RW,60.6,0.84
LL30 1JA,68.8,0.95
LL32 8RN,57.1,0.79
LL22 9YL,63.2,0.94
LL30 2BN,67.0,0.96
LL34 6UE,39.8,0.78
LL29 9UU,55.6,0.64
LL33 0RB,63.7,0.88
LL28 5AJ,43.8,0.83
LL28 4TB,59.0,0.97
LL28 4LA,42.5,0.69
LL30 2SY,56.5,0.71
LL32 8PU,60.6,0.74
LL22 8AN,54.3,0.92
LL29 9UL,75.1,0.96
LL22 8HN,40.9,0.64
LL22 7DN,61.2,0.89
LL28 4AJ,67.7,0.9
LL22 9LG,57.7,0.91
LL29 8PJ,70.0,0.96
LL29 7LS,70.2,0.91
LL29 8YF,57.2,0.9
LL24 0EL,27.0,0.58
LL30 2DT,59.8,0.74
LL18 5NN,50.2,0.72
LL29 9TB,45.2,0.7
LL30 1AZ,48.7,0.6
LL28 5LQ,60.3,0.96
LL29 6DG,59.3,0.83
LL31 9HN,59.6,0.89
LL28 4UA,55.4,0.79
LL30 2LJ,60.0,0.93
LL29 7AX,53.9,0.76
LL24 0HD,43.1,0.75
LL22 9YY,64.8,1.01
LL31 9HJ,49.9,0.68
